N,P,K,temperature,humidity,ph,rainfall,wind_speed,soil_moisture,crop_type,yield_index
24.0,20.0,27.0,31.4,49.6,6.06,94.4,14.7,51.8,mango,94.7
132.0,103.0,205,8,14,8.76,257.9,5.5,36.4,jute,25.8
0,5,21.0,42.0,23.1,8.82,36.4,13.5,59.7,maize,40.7
44.0,25.0,75.0,27.0,71.8,7.07,98.2,16.4,19.9,watermelon,53.6
44.0,54.0,77.0,19.2,98.5,7.9,300,6.7,49.6,rice,57.7
53.0,34.0,46.0,32.6,93.1,7.59,300,12.1,49.9,jute,55.0
29.0,75.0,76.0,19.8,18.2,7.07,63.6,8.0,52.5,chickpea,97.1
0,145,17.0,8,100,4.13,23.9,13.1,64.4,lentil,38.5
55.0,32.0,41.0,25.9,100,7.73,10,14.8,51.0,muskmelon,53.5
21.0,9.0,16.0,17.4,76.6,5.88,172.3,6.8,79.6,orange,46.2
79.0,39.0,42.0,23.7,80.7,6.5,244.5,9.1,56.0,rice,97.0
135.0,145,198.0,39.8,95.1,8.7,12.7,8.7,52.0,lentil,21.8
22.0,23.0,42.0,32.4,81.8,5.34,29.4,7.9,43.4,coconut,57.1
15.0,91.0,48.0,38.1,100,7.58,55.1,14.8,66.6,papaya,49.8
29.0,67.0,19.0,31.1,60.3,6.69,10,8.1,39.4,pigeonpeas,71.7
21.0,14.0,23.0,27.6,93.3,5.81,177.7,10.4,43.8,coconut,92.6
17.0,5,20.0,11.5,93.3,8.54,250.7,17.0,53.6,watermelon,31.1
39.0,62.0,20.0,29.4,64.3,7.1,55.9,11.3,15.6,blackgram,94.8
39.0,52.0,41.0,33.5,90.2,6.59,128.3,9.5,59.0,papaya,94.7
106.0,18.0,49.0,28.9,93.7,6.1,26.6,7.7,57.3,muskmelon,94.3
6.0,12.0,177.0,42.0,18.1,8.68,10,16.0,28.5,watermelon,31.3
113.0,60.0,24.0,22.7,58.3,7.85,148.3,19.4,30.6,jute,55.3
139.0,5,5,8.8,94.8,8.63,10,11.1,67.2,banana,26.5
70.0,26.0,91.0,28.3,100,6.04,278.2,15.9,70.9,papaya,39.2
38.0,126.0,188.0,38.7,16.9,8.91,280.8,15.1,42.8,kidneybeans,28.8
107.0,141.0,201.0,44,15.2,8.49,10,21.2,43.7,jute,27.3
36.0,66.0,32.0,29.2,65.5,7.1,78.9,4.0,45.6,blackgram,90.0
132.0,145,205,8,18.9,4.49,300,14.3,44.2,maize,27.8
22.0,13.0,40.0,20.2,100,4.72,230.9,15.9,46.3,coconut,70.7
40.0,12.0,43.0,31.9,100,7.53,237.8,10.3,46.2,coconut,55.6
38.0,127.0,33.0,8.5,20.0,4.02,280.4,11.2,42.7,mango,28.7
26.0,33.0,22.0,30.0,49.9,5.99,81.9,9.7,57.1,mango,95.7
76.0,51.0,23.0,24.7,64.5,6.58,79.8,10.5,37.3,maize,92.9
68.0,46.0,18.0,31.7,58.6,4.97,31.8,7.8,38.5,banana,39.6
127.0,5,5,12.6,19.0,4.16,34.6,13.4,69.7,coffee,30.4
18.0,145,205,24.5,82.6,6.16,74.9,12.4,37.3,grapes,93.8
23.0,75.0,13.0,19.6,19.9,5.64,107.7,6.1,46.8,kidneybeans,90.2
28.0,123.0,199.0,22.7,79.8,6.29,72.8,9.7,49.9,grapes,92.5
21.0,145,196.0,21.9,92.1,5.48,113.9,11.2,45.3,apple,98
42.0,71.0,73.0,18.7,19.1,7.4,72.3,6.3,43.1,chickpea,96.5
24.0,51.0,7.0,27.0,48.3,8.17,22.5,18.3,25.6,blackgram,54.6
35.0,98.0,5,38.2,46.7,6.28,112.5,23.3,28.9,blackgram,40.6
24.0,43.0,15.0,29.0,84.5,6.73,40.3,12.8,23.3,mungbean,95.9
25.0,80.0,26.0,24.8,66.1,6.82,52.7,13.6,58.2,lentil,97.0
140,141.0,5,38.7,99.6,3.9,10,12.9,49.2,cotton,32.5
59.0,15.0,44.0,32.4,46.1,6.02,45.3,4.0,44.8,coffee,35.4
12.0,6.0,11.0,26.6,100,8.15,190.0,6.6,37.9,orange,59.0
27.0,45.0,20.0,30.4,85.5,6.7,45.5,8.3,47.3,mungbean,96.4
